"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end","rp10_vs_PXR2","rp100_vs_PXR2"
"1","AU_000038",-31.9557999890877,115.7619,"AU",135,0.858313040949533,0.239960409806941,0.0132277434919353,30.6,43,51.6,61,"Mediterranean",147,1000,5,20.28314,"1995-05-09 01:00:00","2015-08-20 10:00:00",NA,NA
"2","AU_000039",-31.9191999890698,115.8728,"AU",135,0.858313040949533,0.239960409806941,0.0132277434919353,31.1,43.7,52.5,62.1,"Mediterranean",147,1000,5,21.58362,"1994-01-19 01:00:00","2015-08-20 10:00:00",NA,NA
"3","AU_000420",-37.9799999921651,145.0962,"AU",314,0.835170613532874,0.244684346249216,0.0893832967959271,27.2,39.3,49,60.6,"Oceanic",120,60,10,17.83482,"1997-10-19 06:00:00","2015-08-20 09:00:00",NA,NA
"4","AU_000468",-31.4755999888542,118.2789,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,21.6,33.3,44.2,58.2,"Arid cold",8,540,14,49.57598,"1966-01-02 10:00:00","2015-08-01 00:00:00",NA,NA
"5","AU_000469",-31.4993999888657,118.2242,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,20.4,31.6,41.8,55.1,"Arid cold",8,540,14,22.05784,"1963-03-11 10:00:00","1985-04-01 00:00:00",NA,NA
"6","AU_000470",-14.7882999870887,126.4964,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,67.9,108.8,139,173,"Tropical",25,800,14,17.99738,"1997-09-01 12:00:00","2015-09-01 00:00:00",NA,NA
"7","AU_000475",-16.4180999864751,126.1025,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,62.7,100.5,128.3,159.8,"Tropical",25,800,14,21.78029,"1993-11-19 19:00:00","2015-09-01 00:00:00",NA,NA
"8","AU_000480",-15.379699986843,126.3114,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,59.3,95,121.4,151.1,"Tropical",25,800,14,18.74857,"1996-12-01 03:00:00","2015-09-01 00:00:00",NA,NA
"9","AU_000495",-32.9341999895744,117.1797,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,19.8,30.6,40.5,53.3,"Mediterranean",8,540,14,41.76181,"1963-08-27 13:00:00","2005-06-01 00:00:00",18.0678104389403,-5.74033822694975
"10","AU_000497",-33.9643999900987,118.4889,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,19.7,30.4,40.2,53,"Arid cold",8,540,14,47.33333,"1968-05-01 13:00:00","2015-09-01 00:00:00",NA,NA
"11","AU_000501",-32.1177999891674,116.8678,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,20.6,31.7,42,55.4,"Mediterranean",8,540,14,54.65959,"1960-08-02 15:00:00","2015-04-01 00:00:00",NA,NA
"12","AU_000513",-30.784699988526,121.4533,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,23.5,36.3,48,63.2,"Arid hot",8,540,14,76.32752,"1939-04-03 10:00:00","2015-08-01 00:00:00",10.5402408780657,-7.82804285679568
"13","AU_000514",-28.8877999876844,121.3295,"AU",539,0.785977462724679,0.279337339495194,0.161955378459848,23.6,36.4,48.2,63.5,"Arid hot",8,540,14,51.42562,"1963-02-26 20:00:00","2014-08-01 00:00:00",NA,NA
"14","AU_000518",-25.0340999863663,128.301,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,29.3,48.3,62,77.5,"Arid hot",35,760,27,58.57906,"1956-10-01 01:00:00","2015-05-01 00:00:00",4.85612836736802,-1.7153878761837
"15","AU_000522",-12.4238999883292,130.8925,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,80.8,116.2,141.9,170.7,"Tropical",108,1000,12,61.45003,"1953-09-17 10:00:00","2015-03-01 00:00:00",-32.2147745508774,-38.4847363078885
"16","AU_000551",-11.1537999891604,132.143,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,76.7,110.4,134.8,162.2,"Tropical",108,1000,12,18.38672,"1996-10-10 07:00:00","2015-03-01 00:00:00",NA,NA
"17","AU_000560",-13.1671999878953,130.1226,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,75.1,108,131.8,158.6,"Tropical",108,1000,12,18.24492,"1997-01-01 02:00:00","2015-04-01 00:00:00",NA,NA
"18","AU_000580",-15.5747999867677,133.2137,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,75.9,109.2,133.4,160.5,"Arid hot",108,1000,12,18.57906,"1996-10-01 01:00:00","2015-05-01 00:00:00",NA,NA
"19","AU_000586",-14.8529999870606,134.0361,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,62.8,90.3,110.3,132.7,"Tropical",108,1000,12,16.7974,"1997-08-13 19:00:00","2014-06-01 00:00:00",NA,NA
"20","AU_000592",-17.2121999862482,137.9462,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,63.9,92,112.3,135.1,"Tropical",108,1000,12,16.65024,"1997-10-06 13:00:00","2014-06-01 00:00:00",NA,NA
"21","AU_000598",-16.4154999864759,132.0859,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,55.5,79.8,97.4,117.2,"Arid hot",108,1000,12,18.09868,"1997-07-26 12:00:00","2015-09-01 00:00:00",NA,NA
"22","AU_000603",-17.3868999862047,131.1166,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,57.5,82.7,101,121.5,"Arid hot",108,1000,12,18.66393,"1996-07-01 01:00:00","2015-03-01 00:00:00",NA,NA
"23","AU_000605",-15.6613999867352,130.4808,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,64.5,92.8,113.3,136.3,"Arid hot",108,1000,12,18.16838,"1996-07-01 01:00:00","2014-09-01 00:00:00",NA,NA
"24","AU_000607",-17.3981999862019,131.9558,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,55,90.5,116.3,145.2,"Arid hot",35,760,27,16.8112,"1997-11-08 18:00:00","2014-09-01 00:00:00",NA,NA
"25","AU_000617",-13.7378999875893,130.6834,"AU",262,0.844363111532705,0.253129179192264,0.0367612869944162,63.7,91.6,111.9,134.6,"Tropical",108,1000,12,34.77515,"1980-05-21 10:00:00","2015-03-01 00:00:00",17.548746099537,21.3133850448249
"26","AU_000628",-18.6369999859586,135.945,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,44.8,73.8,94.8,118.3,"Arid hot",35,760,27,45.44319,"1968-12-20 22:00:00","2014-06-01 00:00:00",-29.4845136690352,-37.5479575762917
"27","AU_000630",-17.5550999861648,133.5439,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,50.2,82.7,106.2,132.6,"Arid hot",35,760,27,27.57118,"1988-01-04 16:00:00","2015-08-01 00:00:00",NA,NA
"28","AU_000631",-19.6422999858433,134.1833,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,48.2,79.3,101.9,127.2,"Arid hot",35,760,27,45.53947,"1969-10-15 18:00:00","2015-05-01 00:00:00",-42.387698561929,-49.5800296671074
"29","AU_000634",-25.3138999864397,131.7571,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,25.1,41.3,53.1,66.3,"Arid hot",35,760,27,15.88661,"1999-09-11 11:00:00","2015-08-01 00:00:00",NA,NA
"30","AU_000635",-24.7494999862957,133.2317,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,36,59.2,76.1,95,"Arid hot",35,760,27,18.74766,"1996-10-31 11:00:00","2015-08-01 00:00:00",NA,NA
"31","AU_000636",-21.5316999858174,133.8901,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,46.2,76,97.7,122,"Arid hot",35,760,27,18.76443,"1996-07-25 08:00:00","2015-05-01 00:00:00",NA,NA
"32","AU_000637",-22.2561999858705,131.8017,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,37.3,61.3,78.8,98.4,"Arid hot",35,760,27,19.10141,"1996-07-25 06:00:00","2015-09-01 00:00:00",NA,NA
"33","AU_000639",-21.8480999858365,133.1228,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,41.5,68.4,87.9,109.7,"Arid hot",35,760,27,18.76443,"1996-07-25 08:00:00","2015-05-01 00:00:00",NA,NA
"34","AU_000640",-22.6458999859127,133.3457,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,37.8,62.1,79.9,99.7,"Arid hot",35,760,27,18.76454,"1996-07-25 07:00:00","2015-05-01 00:00:00",NA,NA
"35","AU_000641",-20.1882999858106,130.0161,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,43.2,71.1,91.4,114.1,"Arid hot",35,760,27,27.34873,"1969-08-26 22:00:00","1997-01-01 00:00:00",NA,NA
"36","AU_000648",-22.4514999858905,134.8189,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,41.7,68.6,88.2,110.1,"Arid hot",35,760,27,16.93292,"1996-07-25 07:00:00","2013-07-01 00:00:00",NA,NA
"37","AU_000649",-24.0136999861333,135.4268,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,31.9,52.6,67.6,84.3,"Arid hot",35,760,27,19.01643,"1996-07-25 07:00:00","2015-08-01 00:00:00",NA,NA
"38","AU_000650",-23.7950999860907,133.889,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,32.5,53.4,68.7,85.7,"Arid hot",35,760,27,63.68606,"1951-06-23 17:00:00","2015-03-01 00:00:00",NA,NA
"39","AU_000652",-22.9493999859521,136.1442,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,30.3,49.9,64.2,80.1,"Arid hot",35,760,27,47.57928,"1968-01-01 17:00:00","2015-08-01 00:00:00",3.1243628843656,-2.88877353782524
"40","AU_000653",-25.8427999865891,133.3027,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,31.2,51.4,66,82.4,"Arid hot",35,760,27,19.07358,"1996-07-04 10:00:00","2015-08-01 00:00:00",NA,NA
"41","AU_000654",-22.4409999858893,136.2916,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,38.2,62.9,80.9,100.9,"Arid hot",35,760,27,16.93258,"1996-07-25 10:00:00","2013-07-01 00:00:00",NA,NA
"42","AU_000655",-25.5606999865077,134.071,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,30.1,49.5,63.7,79.5,"Arid hot",35,760,27,18.66199,"1996-12-01 18:00:00","2015-08-01 00:00:00",NA,NA
"43","AU_000657",-22.2740999858722,137.973,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,34.6,56.9,73.1,91.3,"Arid hot",35,760,27,17.93064,"1996-07-25 21:00:00","2014-07-01 00:00:00",NA,NA
"44","AU_000659",-22.4517999858905,133.6377,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,39,64.1,82.4,102.9,"Arid hot",35,760,27,19.16496,"1996-06-01 01:00:00","2015-08-01 00:00:00",NA,NA
"45","AU_000661",-24.2917999861912,131.549,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,30,49.4,63.4,79.2,"Arid hot",35,760,27,18.66336,"1996-07-01 06:00:00","2015-03-01 00:00:00",NA,NA
"46","AU_000670",-31.1557999887011,136.8054,"AU",205,0.76257151683841,0.320037145053951,0.143996337594047,19.5,31.5,42.2,55.7,"Arid hot",114,440,6,59.37201,"1955-08-18 10:00:00","2015-01-01 00:00:00",11.4647022378728,-5.11682016034917
"47","AU_000672",-32.5225999893681,136.4926,"AU",174,0.716551095418816,0.287467050756765,0.296168883341312,20.2,33.1,48.4,71.6,"Arid cold",107,300,5,40.47639,"1973-10-09 01:00:00","2014-04-01 00:00:00",16.3656311009475,-17.2227281130177
"48","AU_000675",-27.3001999870671,133.6201,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,27.1,44.6,57.4,71.6,"Arid hot",35,760,27,29.6734,"1985-08-27 20:00:00","2015-05-01 00:00:00",NA,NA
"49","AU_000690",-28.1124999873716,140.2102,"AU",159,0.775277524828796,0.322752476221469,0.108215091762547,23.7,37.8,49.6,63.9,"Arid hot",176,920,6,27.92562,"1972-11-28 05:00:00","2000-11-01 00:00:00",NA,NA
"50","AU_000691",-30.5924999884365,138.4053,"AU",205,0.76257151683841,0.320037145053951,0.143996337594047,23.3,37.6,50.3,66.4,"Arid hot",114,440,6,15.92688,"1972-09-27 18:00:00","1988-09-01 00:00:00",NA,NA
"51","AU_000696",-32.8360999895251,135.15,"AU",174,0.716551095418816,0.287467050756765,0.296168883341312,18.6,30.4,44.4,65.6,"Arid cold",107,300,5,23.6426,"1973-08-09 14:00:00","1997-04-01 00:00:00",NA,NA
"52","AU_000701",-33.7080999899674,136.5026,"AU",205,0.76257151683841,0.320037145053951,0.143996337594047,19.1,30.8,41.3,54.5,"Arid cold",114,440,6,53.35969,"1962-01-20 10:00:00","2015-06-01 00:00:00",7.40126843487944,-28.3982562924927
"53","AU_000703",-33.5084999898656,135.2928,"AU",174,0.716551095418816,0.287467050756765,0.296168883341312,18.4,30.1,43.9,65,"Mediterranean",107,300,5,38.12229,"1967-11-17 21:00:00","2006-01-01 00:00:00",NA,NA
"54","AU_000705",-34.4905999903695,135.8511,"AU",205,0.76257151683841,0.320037145053951,0.143996337594047,21.3,34.4,46,60.8,"Mediterranean",114,440,6,21.17967,"1973-01-25 04:00:00","1994-04-01 00:00:00",NA,NA
"55","AU_000708",-32.8426999895284,135.1515,"AU",174,0.716551095418816,0.287467050756765,0.296168883341312,21.1,34.6,50.5,74.8,"Arid cold",107,300,5,18.36459,"1997-03-20 09:00:00","2015-08-01 00:00:00",NA,NA
"56","AU_000722",-29.0388999877477,167.9408,"AU",122,0.8440367666938,0.24382333982336,0.0596439846488331,59.3,84.8,104.2,126.5,"Humid subtropical",26,820,4,67.07883,"1948-06-01 12:00:00","2015-07-01 00:00:00",3.4346538834546,-15.7887306551224
"57","AU_000734",-18.2291999860263,127.6636,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,49.7,79.6,101.7,126.6,"Arid hot",25,800,14,60.08487,"1955-07-01 01:00:00","2015-08-01 00:00:00",-22.1037891223279,-29.4141981265752
"58","AU_000757",-33.20249998971,138.6024,"AU",158,0.826969980241155,0.290748148653432,0.0178057830053801,21.4,32.1,39.5,47.6,"Mediterranean",34,160,5,63.85969,"1951-10-22 07:00:00","2015-09-01 00:00:00",-27.9219467354617,-33.7325978667168
"59","AU_000771",-35.7999999910469,137.3333,"AU",201,0.872013124687438,0.226324880680511,-0.011974483747584,19.2,26.4,31.2,36.3,"Mediterranean",168,200,7,24.3306,"1960-09-02 07:00:00","1985-01-01 00:00:00",NA,NA
"60","AU_000772",-35.7733999910331,137.033,"AU",201,0.872013124687438,0.226324880680511,-0.011974483747584,20.6,28.3,33.4,38.8,"Mediterranean",168,200,7,28.77116,"1973-02-22 09:00:00","2001-12-01 00:00:00",NA,NA
"61","AU_000777",-34.7976999905281,138.6281,"AU",205,0.76257151683841,0.320037145053951,0.143996337594047,22,35.6,47.6,62.8,"Arid cold",114,440,6,42.78337,"1972-08-18 10:00:00","2015-06-01 00:00:00",15.5886629383569,12.9991270234592
"62","AU_000780",-34.952399990608,138.5204,"AU",130,0.847096371001816,0.270426505557951,-0.0120614040383524,19.4,28.1,33.8,39.9,"Mediterranean",137,20,4,48.62868,"1967-01-14 10:00:00","2015-09-01 00:00:00",-13.1073102858171,-31.6547123578646
"63","AU_000783",-34.7110999904833,138.6222,"AU",205,0.76257151683841,0.320037145053951,0.143996337594047,23.2,37.4,50.1,66.1,"Arid cold",114,440,6,35.29375,"1979-11-14 00:00:00","2015-03-01 00:00:00",11.7526378054671,10.2767357804551
"64","AU_000784",-34.9210999905918,138.6216,"AU",130,0.847096371001816,0.270426505557951,-0.0120614040383524,20.6,29.8,35.9,42.3,"Mediterranean",137,20,4,38.21059,"1977-02-12 15:00:00","2015-05-01 00:00:00",-17.2893113950559,-35.0668068997564
"65","AU_000785",-34.5105999903798,138.6763,"AU",158,0.826969980241155,0.290748148653432,0.0178057830053801,17,25.4,31.3,37.8,"Arid cold",34,160,5,16.05487,"1999-05-12 00:00:00","2015-06-01 00:00:00",NA,NA
"66","AU_000788",-34.4766999903623,139.0047,"AU",158,0.826969980241155,0.290748148653432,0.0178057830053801,18.9,28.3,34.8,42,"Mediterranean",34,160,5,27.93589,"1970-09-24 11:00:00","1998-09-01 00:00:00",NA,NA
"67","AU_000789",-34.5518999904011,138.8342,"AU",158,0.826969980241155,0.290748148653432,0.0178057830053801,18.5,27.7,34.1,41.2,"Mediterranean",34,160,5,57.06286,"1958-04-07 20:00:00","2015-05-01 00:00:00",5.37748732663176,4.01989970780516
"68","AU_000790",-34.476099990362,139.0056,"AU",158,0.826969980241155,0.290748148653432,0.0178057830053801,20.2,30.2,37.2,44.9,"Mediterranean",34,160,5,15.54825,"1999-10-13 01:00:00","2015-05-01 00:00:00",NA,NA
"69","AU_000793",-35.3496999908137,138.6223,"AU",201,0.872013124687438,0.226324880680511,-0.011974483747584,21.2,29.2,34.5,40.1,"Mediterranean",168,200,7,17.32432,"1998-05-05 08:00:00","2015-09-01 00:00:00",NA,NA
"70","AU_000795",-34.9999999906327,138.7167,"AU",130,0.847096371001816,0.270426505557951,-0.0120614040383524,28.2,40.8,49.1,58,"Mediterranean",137,20,4,21.00046,"1964-06-30 15:00:00","1985-07-01 00:00:00",NA,NA
"71","AU_000799",-35.4122999908462,138.5751,"AU",201,0.872013124687438,0.226324880680511,-0.011974483747584,23.6,32.5,38.3,44.5,"Mediterranean",168,200,7,42.08795,"1973-03-29 10:00:00","2015-05-01 00:00:00",7.46217267200405,-0.943213419729809
"72","AU_000800",-35.4427999908619,138.5444,"AU",201,0.872013124687438,0.226324880680511,-0.011974483747584,23.9,32.9,38.8,45.1,"Mediterranean",168,200,7,42.23443,"1973-03-06 22:00:00","2015-06-01 00:00:00",-13.0724852699347,-12.3603621374873
"73","AU_000803",-35.4155999908478,138.6764,"AU",201,0.872013124687438,0.226324880680511,-0.011974483747584,21.7,29.8,35.1,40.8,"Mediterranean",168,200,7,19.5138,"1978-10-25 15:00:00","1998-05-01 00:00:00",NA,NA
"74","AU_000805",-35.0265999906465,138.7133,"AU",130,0.847096371001816,0.270426505557951,-0.0120614040383524,24.4,35.3,42.5,50.2,"Mediterranean",137,20,4,30.05761,"1985-05-10 12:00:00","2015-06-01 00:00:00",NA,NA
"75","AU_000815",-34.4389999903428,140.5978,"AU",159,0.775277524828796,0.322752476221469,0.108215091762547,20.6,33,43.2,55.7,"Arid cold",176,920,6,39.48814,"1976-03-06 00:00:00","2015-09-01 00:00:00",NA,NA
"76","AU_000827",-36.1166999912107,140.3667,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,21.4,32.5,42.6,55.8,"Mediterranean",12,280,28,17.39106,"1972-05-10 23:00:00","1989-10-01 00:00:00",NA,NA
"77","AU_000830",-36.8802999916044,140.9286,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,24.1,36.5,47.9,62.7,"Mediterranean",12,280,28,22.71732,"1972-10-11 13:00:00","1995-07-01 00:00:00",NA,NA
"78","AU_000832",-37.7472999920472,140.7739,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,20.8,31.5,41.4,54.2,"Mediterranean",12,280,28,73.27721,"1942-01-19 13:00:00","2015-05-01 00:00:00",NA,NA
"79","AU_000835",-36.0581999911805,139.5913,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,17.4,26.3,34.5,45.2,"Mediterranean",12,280,28,42.50011,"1972-10-29 21:00:00","2015-05-01 00:00:00",-14.1293547499355,-13.5262996700263
"80","AU_000837",-37.0950999917146,140.7911,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,19,28.7,37.7,49.4,"Mediterranean",12,280,28,41.08191,"1974-03-31 21:00:00","2015-05-01 00:00:00",NA,NA
"81","AU_000838",-36.595799991458,140.4864,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,20.1,30.5,40,52.4,"Mediterranean",12,280,28,18.57826,"1982-05-04 08:00:00","2000-12-01 00:00:00",NA,NA
"82","AU_000839",-37.2905999918146,140.8254,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,20.4,30.8,40.5,53,"Mediterranean",12,280,28,29.01392,"1985-09-25 17:00:00","2014-10-01 00:00:00",NA,NA
"83","AU_000844",-13.7641999875758,143.1178,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,65.1,98.1,119.6,142.2,"Tropical",122,860,15,35.37474,"1967-08-17 10:00:00","2003-01-01 00:00:00",12.0681404082892,-10.7074363381698
"84","AU_000846",-12.6266999882069,141.8836,"AU",209,0.824991597795381,0.278457871112517,0.0494712172092044,83,123.4,153.6,187.8,"Tropical",130,1000,7,50.67112,"1964-09-28 10:00:00","2015-06-01 00:00:00",-33.5366977918717,-38.5482836923096
"85","AU_000847",-12.6777999881765,141.9208,"AU",209,0.824991597795381,0.278457871112517,0.0494712172092044,85.1,126.6,157.5,192.6,"Tropical",130,1000,7,20.49452,"1995-01-01 10:00:00","2015-07-01 00:00:00",NA,NA
"86","AU_000850",-15.558099986774,144.4453,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,69.9,105.2,128.3,152.5,"Tropical",122,860,15,41.21093,"1972-11-15 18:00:00","2014-02-01 00:00:00",-40.9725683797802,-39.9713484770133
"87","AU_000851",-16.0007999866132,144.0758,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,66.3,99.9,121.8,144.8,"Tropical",122,860,15,32.9149,"1966-12-31 21:00:00","1999-12-01 00:00:00",-36.1115011495014,-40.2149964910846
"88","AU_000853",-20.6716999857991,140.5083,"AU",209,0.824991597795381,0.278457871112517,0.0494712172092044,47.7,70.9,88.2,107.9,"Arid hot",130,1000,7,21.74675,"1953-10-01 01:00:00","1975-07-01 00:00:00",NA,NA
"89","AU_000855",-17.6705999861387,141.0672,"AU",209,0.824991597795381,0.278457871112517,0.0494712172092044,67.4,100.2,124.7,152.5,"Tropical",130,1000,7,34.32831,"1964-10-03 15:00:00","1999-02-01 00:00:00",-37.117531336493,-38.3314224894107
"90","AU_000864",-20.677799985799,139.4875,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,46.3,76.1,97.9,122.2,"Arid hot",35,760,27,48.07598,"1967-03-04 07:00:00","2015-04-01 00:00:00",-22.9692387751807,-25.6080988232881
"91","AU_000865",-20.9541999857997,139.5861,"AU",699,0.770623692721365,0.372984076990203,0.0368787384121533,39.4,64.8,83.2,103.9,"Arid hot",35,760,27,18.94638,"1970-12-20 21:00:00","1989-12-01 00:00:00",NA,NA
"92","AU_000869",-18.292199986015,143.5483,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,57,85.8,104.7,124.5,"Tropical",122,860,15,33.22998,"1975-04-08 19:00:00","2008-07-01 00:00:00",-25.1826870906025,-30.4962384202626
"93","AU_000870",-17.9474999860801,122.2353,"AU",433,0.784796574137475,0.345492345606194,0.0442888941751349,63.9,102.3,130.7,162.7,"Arid hot",25,800,14,67.57267,"1948-01-04 03:00:00","2015-08-01 00:00:00",-25.1507307856714,-34.4853714062448
"94","AU_000872",-20.8707999857989,144.6,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,51.6,77.7,94.8,112.7,"Arid hot",122,860,15,17.3914,"1966-01-08 20:00:00","1983-06-01 00:00:00",NA,NA
"95","AU_000873",-20.7288999857987,143.1425,"AU",209,0.824991597795381,0.278457871112517,0.0494712172092044,50.8,75.6,94.1,115.1,"Arid hot",130,1000,7,46.32101,"1968-12-04 07:00:00","2015-04-01 00:00:00",-25.7703008701748,-27.6998556185558
"96","AU_000875",-20.7690999857986,145.0211,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,47.1,70.9,86.5,102.9,"Arid hot",122,860,15,31.35832,"1983-11-21 10:00:00","2015-04-01 00:00:00",NA,NA
"97","AU_000877",-18.6835999859516,144.7446,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,56.2,84.6,103.2,122.6,"Arid hot",122,860,15,50.32375,"1964-06-04 07:00:00","2014-10-01 00:00:00",-20.4292816106571,-28.8076501991321
"98","AU_000879",-19.7036999858386,144.3775,"AU",478,0.828122313406985,0.307396432667901,-0.0185862238241296,51.6,77.7,94.8,112.7,"Arid hot",122,860,15,42.55795,"1972-09-08 18:00:00","2015-04-01 00:00:00",-28.3216512576147,-31.9007775793293
"99","AU_000888",-17.1535999862634,144.5236,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,61.7,88.6,104.9,121.2,"Tropical",14,200,15,45.63952,"1968-11-09 05:00:00","2014-07-01 00:00:00",-37.7904875045412,-40.4754399664957
"100","AU_000890",-20.7016999857989,143.1167,"AU",209,0.824991597795381,0.278457871112517,0.0494712172092044,55.5,82.5,102.6,125.5,"Arid hot",130,1000,7,17.47319,"1997-11-08 23:00:00","2015-05-01 00:00:00",NA,NA
"101","AU_000904",-16.8735999863392,145.7458,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,81.1,116.4,137.8,159.2,"Tropical",14,200,15,72.63518,"1942-09-11 01:00:00","2015-05-01 00:00:00",-26.798163018081,-32.131011869795
"102","AU_000905",-15.4632999868104,145.25,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,93.4,133.9,158.6,183.3,"Tropical",14,200,15,21.65811,"1966-01-03 10:00:00","1987-09-01 00:00:00",NA,NA
"103","AU_000906",-15.4485999868161,145.1861,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,88.7,127.3,150.7,174.2,"Tropical",14,200,15,15.16575,"1987-08-01 18:00:00","2002-10-01 00:00:00",NA,NA
"104","AU_000907",-17.2185999862466,145.565,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,61.9,88.8,105.1,121.5,"Tropical",14,200,15,59.09491,"1952-09-26 15:00:00","2011-11-01 00:00:00",-16.639675553498,-10.3177069784071
"105","AU_000908",-17.6769999861373,145.115,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,58.2,83.5,98.8,114.2,"Tropical",14,200,15,42.39083,"1972-11-08 19:00:00","2015-04-01 00:00:00",-34.8363686196243,-31.2654356691985
"106","AU_000909",-17.606899986153,145.4811,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,55,79,93.5,108.1,"Tropical",14,200,15,43.64853,"1969-04-08 10:00:00","2012-12-01 00:00:00",-18.3193100968739,-16.7261440925344
"107","AU_000911",-16.9949999863056,145.4253,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,51.4,73.8,87.4,101,"Tropical",14,200,15,50.45197,"1952-01-17 11:00:00","2002-07-01 00:00:00",-31.4987774914942,-29.0198329486525
"108","AU_000912",-17.8399999861022,145.5956,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,63.3,90.9,107.6,124.3,"Tropical",14,200,15,55.15572,"1960-01-03 10:00:00","2015-03-01 00:00:00",-24.4844541109494,-23.15872455167
"109","AU_000913",-17.9466999860803,145.1617,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,59.7,85.6,101.4,117.1,"Tropical",14,200,15,18.06251,"1965-01-08 17:00:00","1983-02-01 00:00:00",NA,NA
"110","AU_000917",-16.5260999864414,145.4628,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,112.2,161,190.6,220.3,"Tropical",14,200,15,18.8047,"1996-05-10 15:00:00","2015-03-01 00:00:00",NA,NA
"111","AU_000925",-17.6052999861533,145.9972,"AU",563,0.856792690738846,0.273850113453397,-0.0577555310274608,94.9,136.1,161.2,186.3,"Tropical",14,200,15,45.2431,"1969-01-02 00:00:00","2014-04-01 00:00:00",-17.153845205686,-17.198048010225
